"2026年AGV项目工作月报"
"姓名","曹铮","工程师等级","新进工程师","填报年份",2026,"填报月份",9
"日期","上班地点","工作内容","上班时间","下班时间","工作时长(h)","加班时长(h)","项目出勤"
"2026-09-01","调休","","","",0.00,0.00,0.00
"2026-09-02","无锡国药","初到国药现场，熟悉项目，测量巷道中点，贴地码","09:05","18:51",9.77,1.77,1.00
"2026-09-03","无锡国药","继续贴地码，测量货架ab面铅垂线","08:56","17:33",8.62,0.62,1.00
"2026-09-04","无锡国药","测量货架ab面铅垂线","09:02","18:08",9.10,1.10,1.00
"2026-09-05","无锡国药","安装STU供电单元，绘制货架仓位码定位线","09:00","17:10",8.17,8.17,1.00
"2026-09-06","","","","",0.00,0.00,0.00
"2026-09-07","无锡国药","绘制货架仓位码定位线","08:46","17:47",9.02,1.02,1.00
"2026-09-08","无锡国药","","09:00","17:00",8.00,0.00,1.00
"2026-09-09","","","","",0.00,0.00,0.00
"2026-09-10","","","","",0.00,0.00,0.00
"2026-09-11","","","","",0.00,0.00,0.00
"2026-09-12","","","","",0.00,0.00,0.00
"2026-09-13","","","","",0.00,0.00,0.00
"2026-09-14","","","","",0.00,0.00,0.00
"2026-09-15","","","","",0.00,0.00,0.00
"2026-09-16","","","","",0.00,0.00,0.00
"2026-09-17","","","","",0.00,0.00,0.00
"2026-09-18","","","","",0.00,0.00,0.00
"2026-09-19","","","","",0.00,0.00,0.00
"2026-09-20","","","","",0.00,0.00,0.00
"2026-09-21","","","","",0.00,0.00,0.00
"2026-09-22","","","","",0.00,0.00,0.00
"2026-09-23","","","","",0.00,0.00,0.00
"2026-09-24","","","","",0.00,0.00,0.00
"2026-09-25","","","","",0.00,0.00,0.00
"2026-09-26","","","","",0.00,0.00,0.00
"2026-09-27","","","","",0.00,0.00,0.00
"2026-09-28","","","","",0.00,0.00,0.00
"2026-09-29","","","","",0.00,0.00,0.00
"2026-09-30","","","","",0.00,0.00,0.00

"月度汇总统计",,"实际上班天数(天)","项目出勤天数(天)","总工作时长(h)","总加班时长(h)","当月累计可调休天数(天)","当月已调休天数(天)"
,,6.0,6.00,52.68,12.68,1.58,1.0

"项目地点汇总",,,,,
"项目地点","出勤天数(天)","加班时长(h)",,,,
"无锡国药",6.0,12.68,,,,
